Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
80894.0,0,80894,0,GPS1_Frame,42.333980000000004,-71.10070666666667,25.7,1.2,326933.48791132844,4688995.871645208,0.0,19,T
80895.0,0,80895,0,GPS1_Frame,42.333980000000004,-71.10070666666667,25.7,1.2,326933.48791132844,4688995.871645208,0.0,19,T
80896.0,0,80896,0,GPS1_Frame,42.33397333333334,-71.100695,25.7,1.8,326934.4308223524,4688995.1076183915,0.0,19,T
80897.0,0,80897,0,GPS1_Frame,42.33397,-71.10068666666666,25.6,1.8,326935.1082489545,4688994.720517036,0.0,19,T
80898.0,0,80898,0,GPS1_Frame,42.33396666666666,-71.10068166666666,25.5,1.8,326935.51104759664,4688994.340199718,0.0,19,T
80899.0,0,80899,0,GPS1_Frame,42.33396333333334,-71.10067666666667,25.4,1.8,326935.91384628287,4688993.959882428,0.0,19,T
80900.0,0,80900,0,GPS1_Frame,42.33396166666667,-71.10067333333333,25.2,1.8,326936.1839026566,4688993.768027804,0.0,19,T
80901.0,0,80901,0,GPS1_Frame,42.33396,-71.10067000000001,25.0,1.8,326936.4539590429,4688993.576173189,0.0,19,T
80902.0,0,80902,0,GPS1_Frame,42.33395666666667,-71.10066833333333,24.8,1.8,326936.5821297503,4688993.202639881,0.0,19,T
80903.0,0,80903,0,GPS1_Frame,42.33395666666667,-71.10067000000001,24.7,1.8,326936.4448157111,4688993.206031848,0.0,19,T
80904.0,0,80904,0,GPS1_Frame,42.33395666666667,-71.10066666666667,24.5,1.8,326936.71944378945,4688993.199247916,0.0,19,T
80905.0,0,80905,0,GPS1_Frame,42.33395666666667,-71.10066499999999,24.2,1.8,326936.8567578285,4688993.195855955,0.0,19,T
80906.0,0,80906,0,GPS1_Frame,42.33395666666667,-71.10066499999999,24.2,1.2,326936.8567578285,4688993.195855955,0.0,19,T
80907.0,0,80907,0,GPS1_Frame,42.33395666666667,-71.10066499999999,24.2,1.2,326936.8567578285,4688993.195855955,0.0,19,T
80908.0,0,80908,0,GPS1_Frame,42.33395666666667,-71.10066499999999,24.2,1.2,326936.8567578285,4688993.195855955,0.0,19,T
80909.0,0,80909,0,GPS1_Frame,42.33395666666667,-71.10066499999999,24.2,1.2,326936.8567578285,4688993.195855955,0.0,19,T
80910.0,0,80910,0,GPS1_Frame,42.33395666666667,-71.10066333333333,23.7,1.2,326936.9940718635,4688993.192463996,0.0,19,T
80911.0,0,80911,0,GPS1_Frame,42.333954999999996,-71.10066166666667,23.2,1.2,326937.126814255,4688993.004001368,0.0,19,T
80912.0,0,80912,0,GPS1_Frame,42.33395166666666,-71.10066333333333,22.7,1.2,326936.9803569104,4688992.637251982,0.0,19,T
